Store,Total_Sales,Weeks_Reported,Avg_Weekly_Sales,Sales_Std_Dev,Non_Holiday_Avg_Sales,Holiday_Avg_Sales,Holiday_Uplift_%,Sales_CV,Vs_Network_Avg_%,Below_15pct_Network_Flag,Avg_WoW_Growth_%,Unemployment_Correlation,Fuel_Price_Correlation
20,301397792.46,143,2107676.8703496503,275900.56274241407,2097048.4334586465,2249035.081,7.247646030315227,0.13090268561738494,101.31304454626235,False,0.5991549295774647,-0.09534134450284637,-0.013507215553798899
4,299543953.38,143,2094712.9606993007,266201.4422969778,2083555.8431578947,2243102.6240000003,7.657427631039258,0.12708253937002847,100.0748072444972,False,0.5883802816901409,-0.3370151956445589,0.21154920881183356
14,288999911.34,143,2020978.4009790209,317569.9494755081,2013489.3335338344,2120582.998,5.318809624792388,0.15713673600948333,93.03211065547723,False,0.6297887323943663,0.21078648294593594,-0.35034010968552903
13,286517703.8,143,2003620.3062937064,265506.99577556964,1995392.9754887219,2113043.806,5.8961233178874135,0.13251362792719149,91.37416633878355,False,0.6717605633802817,-0.1716328688963503,0.07649993169127534
2,275382440.98,143,1925751.3355244757,237683.69468179933,1914208.8118796991,2079266.9,8.622783841341656,0.12342387633191827,83.93657483613674,False,0.48915492957746487,0.06632485967770842,-0.19637539051238584
10,271617713.89,143,1899424.5726573425,302262.06250448094,1883309.4315789475,2113755.949,12.236253562849125,0.15913349066639101,81.42199546185589,False,0.5569014084507043,0.13190762207746096,-0.18505814261218276
27,253855916.88,143,1775216.2019580419,239930.1356881839,1766412.9631578948,1892299.2780000002,7.126663892742998,0.13515544496695325,69.55833380889158,False,0.7961971830985917,-0.014275051941261286,-0.22723783077585685
6,223756130.64,143,1564728.1862937063,212525.85586197738,1555992.867443609,1680907.927,8.027996925308395,0.13582285902663824,49.45374193809919,False,0.57943661971831,0.04425082101562407,-0.10335613336814131
1,222402808.85,143,1555264.3975524476,155980.76776119994,1546957.3856390978,1665747.656,7.6789620362959194,0.10029212268130754,48.549815842383495,False,0.4966901408450704,-0.09795539472957952,0.12459158039045636
39,207445542.47,143,1450668.1291608391,217466.4548330348,1443114.7945112782,1551127.48,7.484691162444991,0.14990779108026006,38.559388213598275,False,0.8850704225352112,-0.38468135708616075,0.2666593234600254
19,206634862.1,143,1444999.0356643356,191722.63873007408,1435070.637293233,1577046.734,9.893317654004537,0.13268011534826385,38.01790935236791,False,0.6078873239436621,0.10146392090273453,-0.1906840769295775
31,199613905.5,143,1395901.437062937,125855.94293256958,1388072.5203007518,1500026.03,8.065393418709235,0.09016105262945948,33.328392095997316,False,0.38190140845070425,-0.06473780907548936,0.10956286619967202
23,198750617.85,143,1389864.4604895106,249788.03806798684,1384399.9617293233,1462542.294,5.64449107417377,0.179721149197535,32.75177518144658,False,0.9698591549295773,-0.0771689955908882,0.018392302202448935
24,194016021.28,143,1356755.3935664336,167745.67756711715,1347857.4343609023,1475098.251,9.440228127645408,0.12363737661375546,29.589389543431377,False,0.7192957746478872,-0.012260801238922878,-0.1050050603346454
11,193962786.8,143,1356383.1244755245,165833.88786308072,1349464.9770676692,1448394.4849999999,7.331017078138655,0.12226183360044682,29.5538325635472,False,0.4595774647887324,-0.020338971133082383,-0.04129887161926871
