Store,Holiday_Weeks,Avg_Holiday_Sales,Total_Holiday_Sales,Median_Holiday_Sales,Avg_WoW_Growth,Avg_Unemployment,Avg_Fuel_Price
4,4,2323198.6225,9292794.49,2140493.15,-1.8899999999999988,5.609999999999999,3.2327500000000002
20,4,2302852.2375,9211408.95,2130965.35,-4.7,7.19525,3.4645
14,4,2195662.1575,8782648.63,2091573.9649999999,4.5525,8.555,3.4645
10,4,2166719.285,8666877.14,2023049.34,3.9200000000000017,8.187249999999999,3.585
13,4,2162646.9325,8650587.73,1956747.9049999998,-0.3775000000000013,6.78275,3.30425
2,4,2101117.77,8404471.08,2021134.065,1.1274999999999995,7.6905,3.23325
27,4,1925675.23,7702700.92,1781037.7200000002,8.122499999999999,7.872249999999999,3.6502499999999998
6,4,1704596.6549999998,6818386.619999999,1542500.345,1.575000000000001,6.7212499999999995,3.23325
1,4,1680217.3875,6720869.55,1595043.085,0.022499999999999076,7.859,3.23325
39,4,1633302.9275,6533211.71,1483242.71,0.9900000000000002,8.001,3.23325
19,4,1594344.685,6377378.74,1498781.9500000002,-0.4425000000000008,7.827249999999999,3.6502499999999998
31,4,1551351.5474999999,6205406.1899999995,1457950.295,1.6775000000000002,7.6905,3.23325
24,4,1498476.16,5993904.64,1445714.1749999998,8.952499999999999,8.3795,3.6502499999999998
23,4,1485905.6949999998,5943622.779999999,1336538.15,1.1875,4.6345,3.5005
28,4,1476790.795,5907163.18,1353694.19,0.7349999999999994,13.326,3.586
11,4,1467428.635,5869714.54,1385660.555,-0.5700000000000003,7.378,3.23325
41,4,1400422.46,5601689.84,1272486.565,2.030000000000001,6.915,3.2865
32,4,1259857.7025,5039430.81,1126297.25,0.4449999999999985,8.6165,3.2865
12,4,1178207.6575,4712830.63,1099029.82,6.077500000000001,13.326,3.586
18,4,1177084.1675,4708336.67,1066308.0350000001,22.379999999999995,8.74075,3.5005
22,4,1133039.875,4532159.5,1006820.435,5.470000000000001,7.97325,3.5005
35,4,1105042.94,4420171.76,913545.595,24.47,8.68075,3.4645
26,4,1083894.1300000001,4335576.5200000005,1040211.0249999999,3.3599999999999994,7.7175,3.5005
34,4,1064317.23,4257268.92,990583.48,1.8824999999999985,10.33375,3.2327500000000002
40,4,1023049.1525,4092196.61,976665.755,0.5899999999999999,4.6345,3.5005
17,4,994504.8049999999,3978019.2199999997,987555.82,9.159999999999998,6.71125,3.30425
8,4,984560.39,3938241.56,927359.8049999999,-0.7400000000000002,6.23325,3.23325
45,4,888165.5325,3552662.13,817929.815,3.0174999999999983,8.555,3.4645
21,4,862380.98,3449523.92,788135.435,11.422500000000001,7.6905,3.23325
25,4,772198.005,3088792.02,678456.925,-0.34250000000000114,7.19525,3.4645
7,4,734507.4375,2938029.75,714525.375,14.162499999999998,8.6165,3.2865
15,4,715099.1875,2860396.75,605527.15,6.932499999999999,7.827249999999999,3.6502499999999998
29,4,630175.685,2520702.74,551065.415,11.522499999999999,9.70825,3.5005
43,4,615037.57,2460150.28,642389.605,-2.9524999999999997,10.33375,3.23325
9,4,612151.435,2448605.74,552533.69,2.4974999999999987,6.232,3.23325
16,4,604928.2275,2419712.91,620241.81,3.672500000000001,6.354,3.2865
42,4,567141.3674999999,2268565.4699999997,593044.655,0.25,8.187249999999999,3.585
37,4,500667.4275,2002669.71,514394.03,-10.370000000000001,8.001,3.23325
3,4,443838.1925,1775352.77,420540.04500000004,3.165,7.378,3.23325
30,4,417690.11,1670760.44,414470.69,-5.8950000000000005,7.6905,3.23325
38,4,377956.8,1511827.2,385694.085,-7.1625,13.326,3.586
5,4,372556.4275,1490225.71,335367.55,9.357500000000002,6.4407499999999995,3.23325
36,4,343674.65249999997,1374698.6099999999,342886.095,-3.6825,8.001,3.20525
44,4,294086.20999999996,1176344.8399999999,301648.99,-7.535,6.485,3.30425
33,4,257349.175,1029396.7,266097.605,5.4175,8.35325,3.585
