Store,Non_Holiday_Avg_Sales,Holiday_Avg_Sales,Holiday_Uplift_%
35,826391.8097916666,1105042.94,33.71900918023151
7,577596.0577083334,734507.4375,27.166283027316236
5,312095.714375,372556.4275,19.3724906623848
29,529784.2179166666,630175.685,18.949501266405157
12,997274.3737499999,1178207.6575,18.142778809170228
15,612963.0864583333,715099.1875,16.6626838219253
16,520867.80374999996,604928.2275,16.138533260225547
10,1880208.7,2166719.285,15.238233128056486
18,1031445.9049999999,1177084.1675,14.119815861792587
45,782973.0364583334,888165.5325,13.43500876064517
39,1442591.4914583333,1633302.9275,13.220058288911307
17,883621.26125,994504.8049999999,12.548763662968046
21,766361.6670833334,862380.98,12.529242659292036
24,1332189.0047916665,1498476.16,12.482249486388614
28,1317684.2791666666,1476790.795,12.0747069953628
9,546611.748125,612151.435,11.99017165288081
3,396698.41250000003,443838.1925,11.883027134624585
2,1879237.7154166668,2101117.77,11.806917920127932
19,1426344.1966666665,1594344.685,11.77839743912772
25,694700.2854166667,772198.005,11.155561788326004
6,1535632.8402083332,1704596.6549999998,11.002878446435407
22,1021303.175625,1133039.875,10.940600405616207
34,960477.3570833333,1064317.23,10.81127755390253
41,1273212.1764583334,1400422.46,9.991287068548516
20,2096366.529375,2302852.2375,9.84969494750331
27,1754582.9847916665,1925675.23,9.751162908299172
31,1415912.9027083332,1551351.5474999999,9.565464410459287
4,2120822.8925,2323198.6225,9.542321082805833
26,994034.9,1083894.1300000001,9.039846588887382
11,1346955.590625,1467428.635,8.944099212587956
1,1545855.1933333334,1680217.3875,8.691771049844641
8,907803.0125000001,984560.39,8.455290018108409
14,2027367.126458333,2195662.1575,8.301162075941647
13,1997644.2833333332,2162646.9325,8.259861404921311
23,1381873.1460416666,1485905.6949999998,7.528371852100264
32,1173078.3889583333,1259857.7025,7.397571582468982
40,963507.215,1023049.1525,6.179708524549035
33,248509.16604166667,257349.175,3.5572164597144655
42,559348.6916666667,567141.3674999999,1.3931695826647579
43,616521.774375,615037.57,-0.24073835453819992
44,298371.87145833333,294086.20999999996,-1.4363490222408082
38,383936.0677083333,377956.8,-1.5573602511540088
30,427320.5827083333,417690.11,-2.2536880033477344
37,522475.54291666666,500667.4275,-4.173997369317055
36,366623.33625,343674.65249999997,-6.259471637765945
